SKU,Tamanho Pedido,Loja,Data da Venda,Código Cliente
HL1001,5,São Paulo,"2020-01-01 00:00:00,000",235
HL1001,5,São Paulo,"2020-01-17 00:00:00,000",160
HL1001,5,São Paulo,"2020-01-22 00:00:00,000",49
HL1001,5,São Paulo,"2020-01-29 00:00:00,000",319
HL1001,5,São Paulo,"2020-02-07 00:00:00,000",114
HL1001,5,São Paulo,"2020-02-10 00:00:00,000",320
HL1001,5,São Paulo,"2020-02-15 00:00:00,000",303
HL1001,5,São Paulo,"2020-02-20 00:00:00,000",209
HL1001,5,São Paulo,"2020-04-20 00:00:00,000",235
HL1001,5,São Paulo,"2020-04-29 00:00:00,000",224
HL1001,5,São Paulo,"2020-05-10 00:00:00,000",145
HL1001,5,São Paulo,"2020-05-14 00:00:00,000",224
HL1001,5,São Paulo,"2020-05-30 00:00:00,000",665
HL1001,5,São Paulo,"2020-06-17 00:00:00,000",111
HL1001,5,São Paulo,"2020-07-01 00:00:00,000",683
HL1001,5,São Paulo,"2020-07-16 00:00:00,000",424
HL1001,5,São Paulo,"2020-07-25 00:00:00,000",753
HL1001,5,São Paulo,"2020-08-11 00:00:00,000",429
HL1001,5,São Paulo,"2020-08-23 00:00:00,000",406
HL1001,5,São Paulo,"2020-09-08 00:00:00,000",776
HL1001,5,São Paulo,"2020-09-19 00:00:00,000",650
HL1001,5,São Paulo,"2020-09-20 00:00:00,000",140
HL1001,5,São Paulo,"2020-09-21 00:00:00,000",665
HL1001,5,São Paulo,"2020-10-04 00:00:00,000",608
HL1001,5,São Paulo,"2020-10-15 00:00:00,000",79
HL1001,5,São Paulo,"2020-10-17 00:00:00,000",408
HL1001,5,São Paulo,"2020-10-21 00:00:00,000",728
HL1001,5,São Paulo,"2020-10-21 00:00:00,000",446
HL1001,5,São Paulo,"2020-11-01 00:00:00,000",105
HL1001,5,São Paulo,"2020-11-12 00:00:00,000",608
HL1001,5,São Paulo,"2020-11-23 00:00:00,000",53
HL1001,5,São Paulo,"2020-12-03 00:00:00,000",140
HL1001,5,São Paulo,"2020-12-10 00:00:00,000",617
HL1001,5,São Paulo,"2020-12-24 00:00:00,000",310
HL1001,5,São Paulo,"2020-12-28 00:00:00,000",797
HL1001,5,São Paulo,"2021-01-01 00:00:00,000",79
HL1001,5,São Paulo,"2021-01-01 00:00:00,000",617
HL1001,5,São Paulo,"2021-01-02 00:00:00,000",69
HL1001,5,São Paulo,"2021-01-06 00:00:00,000",446
HL1001,5,São Paulo,"2021-01-09 00:00:00,000",773
HL1001,5,São Paulo,"2021-01-18 00:00:00,000",114
HL1001,5,São Paulo,"2021-01-20 00:00:00,000",235
HL1001,5,São Paulo,"2021-02-15 00:00:00,000",748
HL1001,5,São Paulo,"2021-02-23 00:00:00,000",776
HL1001,5,São Paulo,"2021-03-25 00:00:00,000",303
HL1001,5,São Paulo,"2021-03-29 00:00:00,000",617
HL1001,5,São Paulo,"2021-05-23 00:00:00,000",641
HL1001,5,São Paulo,"2021-06-01 00:00:00,000",160
HL1001,5,São Paulo,"2021-06-13 00:00:00,000",140
HL1001,5,São Paulo,"2021-07-14 00:00:00,000",650
HL1001,5,São Paulo,"2021-07-14 00:00:00,000",718
HL1001,5,São Paulo,"2021-07-23 00:00:00,000",484
HL1001,5,São Paulo,"2021-08-11 00:00:00,000",424
HL1001,5,São Paulo,"2021-08-13 00:00:00,000",773
HL1001,5,São Paulo,"2021-09-08 00:00:00,000",140
HL1001,5,São Paulo,"2021-09-20 00:00:00,000",50
HL1001,5,São Paulo,"2021-09-22 00:00:00,000",145
HL1001,5,São Paulo,"2021-10-24 00:00:00,000",235
HL1001,5,São Paulo,"2021-11-01 00:00:00,000",748
HL1001,5,São Paulo,"2021-11-03 00:00:00,000",140
HL1001,5,São Paulo,"2021-11-27 00:00:00,000",196
HL1001,5,São Paulo,"2021-11-29 00:00:00,000",261
HL1001,5,São Paulo,"2021-12-02 00:00:00,000",650
HL1001,5,São Paulo,"2021-12-02 00:00:00,000",114
HL1001,5,São Paulo,"2021-12-05 00:00:00,000",776
HL1001,5,São Paulo,"2021-12-07 00:00:00,000",698
HL1001,5,São Paulo,"2021-12-13 00:00:00,000",650
HL1001,5,São Paulo,"2021-12-18 00:00:00,000",235
HL1001,5,São Paulo,"2021-12-27 00:00:00,000",541
HL1001,5,São Paulo,"2021-12-29 00:00:00,000",319
HL1001,5,São Paulo,"2022-01-07 00:00:00,000",57
HL1001,5,São Paulo,"2022-01-27 00:00:00,000",50
HL1001,5,São Paulo,"2022-01-30 00:00:00,000",683
HL1001,5,São Paulo,"2022-01-30 00:00:00,000",718
HL1001,5,São Paulo,"2022-03-07 00:00:00,000",382
HL1001,5,São Paulo,"2022-03-11 00:00:00,000",797
HL1001,5,São Paulo,"2022-03-13 00:00:00,000",310
HL1001,5,São Paulo,"2022-03-15 00:00:00,000",424
HL1001,5,São Paulo,"2022-03-18 00:00:00,000",797
HL1001,5,São Paulo,"2022-03-23 00:00:00,000",145
HL1001,5,São Paulo,"2022-03-30 00:00:00,000",484
HL1001,5,São Paulo,"2022-04-02 00:00:00,000",617
HL1001,5,São Paulo,"2022-04-04 00:00:00,000",608
HL1001,5,São Paulo,"2022-04-15 00:00:00,000",725
HL1001,5,São Paulo,"2022-04-18 00:00:00,000",196
HL1001,5,São Paulo,"2022-04-20 00:00:00,000",79
HL1001,5,São Paulo,"2022-05-05 00:00:00,000",50
HL1001,5,São Paulo,"2022-05-18 00:00:00,000",57
HL1001,5,São Paulo,"2022-05-20 00:00:00,000",310
HL1001,5,São Paulo,"2022-05-22 00:00:00,000",450
HL1001,5,São Paulo,"2022-05-25 00:00:00,000",773
HL1001,5,São Paulo,"2022-06-09 00:00:00,000",196
HL1001,5,São Paulo,"2022-07-03 00:00:00,000",753
HL1001,5,São Paulo,"2022-07-08 00:00:00,000",608
HL1001,5,São Paulo,"2022-07-08 00:00:00,000",408
HL1001,5,São Paulo,"2022-07-09 00:00:00,000",450
HL1001,5,São Paulo,"2022-07-17 00:00:00,000",53
